"ARCHITECTURE",ARCH 2360 01 DCC 337 Monday,May 1,11:30AM-2:30PM
"ARTS",ARTS 2380 01 WEST 323 Wednesday0,May 3,3:00PM-6:00PM
"ARTS",ARTS 4380 01 WEST 323 Wednesday,May 3,3:00PM-6:00PM
"ARTS",ARTS 4460 01 SAGE 2411 Wednesday,May 3,3:00PM-6:00PM
"ASTRONOMY",ASTR 1520 01 DCC 318 Thursday,May 4,11:30AM-2:30PM
"BIOCHEMISTRY& BIOPHYSICS",BCBP 4550 01 SAGE 5510 Monday,May 1,3:00PM-6:00PM
"BIOCHEMISTRY& BIOPHYSICS",BCBP 6420 01 SAGE 5510 Monday,May 1,3:00PM-6:00PM
"BIOLOGY",BIOL 2120 (ALL SECTIONS) DCC 318 Tuesday,May 2,6:30PM-9:30PM
"BIOLOGY",BIOL 4310 01 LOW 3051 Tuesday,May 2,3:00PM-6:00PM
"BIOLOGY",BIOL 4550 01 SAGE 5510 Monday,May 1,3:00PM-6:00PM
"BIOLOGY",BIOL 4850 01 LOW 3039 Wednesday,May 3,3:00PM-6:00PM
"BIOLOGY",BIOL 6310 01 LOW 3051 Tuesday,May 2,3:00PM-6:00PM
"BIOLOGY",BIOL 6420 01 SAGE 5510 Monday,May 1,3:00PM-6:00PM
"BIOMEDICAL ENGINEERING",BMED 2050 (ALL SECTIONS) JEC 5119 Thursday,May 4,6:30PM-9:30PM
"BIOMEDICAL ENGINEERING",BMED 2100 01 JEC 5119 Wednesday,May 3,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 2100 02 LOW 3045 Wednesday,May 3,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 2540 01 JEC 4309 Tuesday,May 2,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 2540 02 JEC 5119 Tuesday,May 2,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 4200 01 LOW 3051 Monday,May 1,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 4250 01 EATON 216 Wednesday,May 3,11:30AM-2:30PM
"BIOMEDICAL ENGINEERING",BMED 4410 01 CARNEG 113 Monday,May 1,3:00PM-6:00PM
"BIOMEDICAL ENGINEERING",BMED 4480 01 DCC 324 Monday,May 1,3:00PM-6:00PM
"BIOMEDICAL ENGINEERING",BMED 6410 01 CARNEG 113 Monday,May 1,3:00PM-6:00PM
"BIOMEDICAL ENGINEERING",BMED 6480 01 DCC 324 Monday,May 1,3:00PM-6:00PM
"CHEMISTRY",CHEM 1100 (ALL SECTIONS) SAGE 3303 Tuesday,May 2,11:30AM-2:30PM
"CHEMISTRY",CHEM 1200 (ALL SECTIONS) DCC 308 Wednesday,May 3,11:30AM-2:30PM
"CHEMISTRY",CHEM 1210 01 DCC 308 Wednesday,May 3,11:30AM-2:30PM
"CHEMISTRY",CHEM 2030 01 JEC 4039 Tuesday,May 2,3:00PM-6:00PM
"CHEMISTRY",CHEM 2260 01 WEST 220 Wednesday,May 3,3:00PM-6:00PM
"CHEMISTRY",CHEM 4130 01 LOW 3130 Thursday,May 4,3:00PM-6:00PM
"CHEMISTRY",CHEM 4200 01 LOW 3116 Monday,May 1,3:00PM-6:00PM
"CHEMISTRY",CHEM 6130 01 LOW 3130 Thursday,May 4,3:00PM-6:00PM
"CHEMICAL ENGINEERING",CHME 1100 (ALL SECTIONS) ACADEMY AUD Tuesday,May 2,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 2020 01 ACADEMY AUD Thursday,May 4,3:00PM-6:00PM
"CHEMICAL ENGINEERING",CHME 2050 01 JEC 5119 Thursday,May 4,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 4010 01 LOW 4050 Tuesday,May 2,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 4020 01 SAGE 3101 Wednesday,May 3,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 4050 (ALL SECTIONS)* DCC 337 Tuesday,May 2,8:00AM-11:00AM
"CHEMICAL ENGINEERING",CHME 4050 (ALL SECTIONS)* DCC 337 Tuesday,May 2,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 4400 01 TROY 2018 Wednesday,May 3,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 6440 01 TROY 2018 Wednesday,May 3,11:30AM-2:30PM
"CHEMICAL ENGINEERING",CHME 6964 01 TROY 2015 Friday,May 5,6:30PM-9:30PM
"CIVIL ENGINEERING",CIVL 1300 01 DCC 337 Monday,May 1,3:00PM-6:00PM
"CIVIL ENGINEERING",CIVL 2060 (ALL SECTIONS) CARNEG 113 Tuesday,May 2,11:30AM-2:30PM
"CIVIL ENGINEERING",CIVL 2630 (ALL SECTIONS) LOW 4050 Thursday,May 4,3:00PM-6:00PM
"CIVIL ENGINEERING",CIVL 2670 (ALL SECTIONS) LOW 4050 Wednesday,May 3,3:00PM-6:00PM
"CIVIL ENGINEERING",CIVL 4080 (ALL SECTIONS) SAGE 3101 Thursday,May 4,3:00PM-6:00PM
"CIVIL ENGINEERING",CIVL 4150 (ALL SECTIONS) SAGE 4510 Tuesday,May 2,11:30AM-2:30PM
"CIVIL ENGINEERING",CIVL 4270 01 JEC 5119 Friday,May 5,6:30PM-9:30PM
"CIVIL ENGINEERING",CIVL 4280 01 LOW 3130 Friday,May 5,11:30AM-2:30PM
"CIVIL ENGINEERING",CIVL 4440 01 SAGE 4101 Tuesday,May 2,3:00PM-6:00PM
"CIVIL ENGINEERING",CIVL 4570 01 LOW 3045 Wednesday,May 3,3:00PM-6:00PM
